MD,P,T
875.0,59.669,171.844
877.0,59.828,171.853
879.0,59.973,171.858
881.0,60.125,171.865
883.0,60.282,171.872
885.0,60.435,171.882
887.0,60.588,171.896
889.0,60.741,171.915
891.0,60.889,171.938
893.0,61.039,171.966
895.0,61.195,171.984
897.0,61.346,172.002
899.0,61.49,172.021
901.0,61.635,172.043
903.0,61.793,172.062
905.0,61.949,172.076
907.0,62.103,172.087
909.0,62.255,172.093
911.0,62.41,172.099
913.0,62.569,172.116
915.0,62.723,172.302
917.0,62.868,172.457
919.0,63.012,172.517
921.0,63.16,172.55
923.0,63.315,172.554
925.0,63.473,172.411
927.0,63.625,171.849
929.0,63.755,170.864
931.0,63.882,169.53
933.0,64.031,167.751
935.0,64.186,164.995
937.0,64.341,161.296
939.0,64.504,157.235
941.0,64.686,152.067
943.0,64.869,146.683
945.0,65.042,142.167
947.0,65.187,139.751
949.0,65.313,138.232
951.0,65.455,136.913
953.0,65.611,135.415
955.0,65.766,134.202
957.0,65.943,132.192
959.0,66.111,130.802
961.0,66.272,129.677
963.0,66.433,128.545
965.0,66.596,127.953
967.0,66.764,127.743
969.0,66.926,127.674
971.0,67.091,127.402
973.0,67.258,126.915
975.0,67.419,126.436
977.0,67.577,125.925
979.0,67.74,125.372
981.0,67.904,125.106
983.0,68.065,125.047
985.0,68.222,125.054
987.0,68.385,125.05
989.0,68.543,125.047
991.0,68.69,125.046
993.0,68.839,125.048
995.0,68.982,125.051
997.0,69.129,125.047
999.0,69.291,125.028
1001.0,69.449,124.122
1003.0,69.611,123.458
1005.0,69.783,121.112
1007.0,69.945,119.135
1009.0,70.102,118.102
1011.0,70.261,117.053
1013.0,70.417,116.36
1015.0,70.58,115.818
1017.0,70.738,115.543
1019.0,70.898,115.349
1021.0,71.052,115.192
1023.0,71.208,115.061
1025.0,71.374,114.91
1027.0,71.537,114.759
1029.0,71.695,114.567
1031.0,71.855,114.466
1033.0,72.026,114.234
1035.0,72.187,114.069
1037.0,72.356,113.969
1039.0,72.53,113.912
1041.0,72.689,113.873
1043.0,72.847,113.852
1045.0,73.001,113.828
1047.0,73.144,113.812
1049.0,73.301,113.77
1051.0,73.46,113.713
1053.0,73.62,113.682
1055.0,73.777,113.655
1057.0,73.937,113.633
1059.0,74.098,113.617
1061.0,74.26,113.599
1063.0,74.419,113.539
1065.0,74.579,113.471
1067.0,74.742,113.387
1069.0,74.894,113.202
1071.0,75.047,112.789
1073.0,75.208,112.321
1075.0,75.373,112.13
1077.0,75.542,111.906
1079.0,75.701,111.514
1081.0,75.855,111.285
1083.0,76.022,111.152
1085.0,76.189,111.096
1087.0,76.341,111.05
1089.0,76.498,110.935
1091.0,76.666,110.785
1093.0,76.821,110.673
1095.0,76.979,110.616
1097.0,77.14,110.55
1099.0,77.302,110.482
1101.0,77.464,110.312
1103.0,77.621,110.171
1105.0,77.774,110.106
1107.0,77.935,110.111
1109.0,78.1,110.115
1111.0,78.264,110.11
1113.0,78.424,110.105
1115.0,78.558,110.102
1117.0,78.706,110.098
1119.0,78.865,110.091
1121.0,79.025,110.09
1123.0,79.181,110.085
1125.0,79.339,110.084
1127.0,79.495,110.084
1129.0,79.657,110.084
1131.0,79.825,110.083
1133.0,79.993,110.076
1135.0,80.157,110.074
1137.0,80.306,110.069
1139.0,80.466,110.066
1141.0,80.628,110.06
1143.0,80.784,110.056
1145.0,80.945,110.049
1147.0,81.108,110.049
1149.0,81.277,110.05
1151.0,81.433,110.051
1153.0,81.59,110.051
1155.0,81.758,110.049
1157.0,81.915,110.045
1159.0,82.069,110.043
1161.0,82.227,110.043
1163.0,82.396,110.043
1165.0,82.555,110.042
1167.0,82.718,110.041
1169.0,82.877,110.038
1171.0,83.036,110.036
1173.0,83.19,110.036
1175.0,83.334,110.035
1177.0,83.49,110.035
1179.0,83.652,110.036
1181.0,83.808,110.036
1183.0,83.967,110.037
1185.0,84.127,110.038
1187.0,84.288,110.039
1189.0,84.456,110.044
1191.0,84.614,110.052
1193.0,84.777,110.06
1195.0,84.944,110.068
1197.0,85.104,110.075
1199.0,85.267,110.079
1201.0,85.431,110.083
1203.0,85.593,110.086
1205.0,85.744,110.091
1207.0,85.898,110.096
1209.0,86.053,110.099
1211.0,86.217,110.103
1213.0,86.378,110.105
1215.0,86.537,110.108
1217.0,86.698,110.111
1219.0,86.858,110.113
1221.0,87.011,110.116
1223.0,87.173,110.119
1225.0,87.34,110.122
1227.0,87.509,110.125
1229.0,87.679,110.128
1231.0,87.849,110.131
1233.0,88.022,110.133
1235.0,88.185,110.135
1237.0,88.331,110.137
1239.0,88.477,110.14
1241.0,88.648,110.142
1243.0,88.812,110.143
1245.0,88.97,110.144
1247.0,89.114,110.145
1249.0,89.259,110.146
1251.0,89.421,110.148
1253.0,89.585,110.151
1255.0,89.755,110.152
1257.0,89.921,110.155
1259.0,90.084,110.158
1261.0,90.249,110.163
1263.0,90.414,110.178
1265.0,90.58,110.202
1267.0,90.746,110.222
1269.0,90.906,110.245
1271.0,91.068,110.278
1273.0,91.228,110.32
1275.0,91.386,110.381
1277.0,91.558,110.434
1279.0,91.727,110.473
1281.0,91.886,110.529
1283.0,92.049,110.6
1285.0,92.216,110.663
1287.0,92.378,110.723
1289.0,92.548,110.782
1291.0,92.713,110.82
1293.0,92.871,110.86
1295.0,93.032,110.9
1297.0,93.195,110.942
1299.0,93.358,110.983
1301.0,93.521,111.011
1303.0,93.686,111.036
1305.0,93.852,111.07
1307.0,94.017,111.102
1309.0,94.182,111.135
1311.0,94.348,111.17
1313.0,94.514,111.198
1315.0,94.675,111.233
1317.0,94.84,111.266
1319.0,95.007,111.298
1321.0,95.173,111.332
1323.0,95.34,111.358
1325.0,95.508,111.382
1327.0,95.671,111.402
1329.0,95.815,111.427
1331.0,95.963,111.455
1333.0,96.124,111.485
1335.0,96.289,111.51
1337.0,96.451,111.537
1339.0,96.61,111.567
1341.0,96.774,111.596
1343.0,96.943,111.624
1345.0,97.109,111.647
1347.0,97.273,111.673
1349.0,97.441,111.702
1351.0,97.608,111.735
1353.0,97.771,111.766
1355.0,97.926,111.801
1357.0,98.078,111.824
1359.0,98.234,111.854
1361.0,98.4,111.879
1363.0,98.565,111.91
1365.0,98.736,111.943
1367.0,98.899,111.982
1369.0,99.061,112.015
1371.0,99.228,112.055
1373.0,99.393,112.096
1375.0,99.557,112.193
1377.0,99.723,112.267
1379.0,99.881,112.316
1381.0,100.044,112.374
1383.0,100.207,112.455
1385.0,100.359,112.535
1387.0,100.514,112.651
1389.0,100.681,112.746
1391.0,100.854,112.822
1393.0,101.018,112.897
1395.0,101.182,112.973
1397.0,101.347,113.07
1399.0,101.518,113.164
1401.0,101.686,113.25
1403.0,101.847,113.343
1405.0,102.004,113.472
1407.0,102.166,113.605
1409.0,102.332,113.774
1411.0,102.486,113.95
1413.0,102.633,114.153
1415.0,102.787,114.309
1417.0,102.949,114.534
1419.0,103.112,114.728
1421.0,103.273,114.885
1423.0,103.438,115.076
1425.0,103.605,115.218
1427.0,103.768,115.317
1429.0,103.936,115.422
1431.0,104.104,115.563
1433.0,104.265,115.691
1435.0,104.431,115.845
1437.0,104.599,115.999
1439.0,104.754,116.122
1441.0,104.918,116.236
1443.0,105.086,116.453
1445.0,105.257,116.703
1447.0,105.415,116.934
1449.0,105.564,117.348
1451.0,105.719,117.848
1453.0,105.879,118.471
1455.0,106.039,118.945
1457.0,106.201,119.326
1459.0,106.368,119.919
1461.0,106.529,120.371
1463.0,106.689,120.676
1465.0,106.849,121.12
1467.0,107.01,121.552
1469.0,107.175,121.968
1471.0,107.337,122.595
1473.0,107.498,123.141
1475.0,107.66,123.693
1477.0,107.818,124.259
1479.0,107.977,124.88
1481.0,108.143,125.368
1483.0,108.305,126.068
1485.0,108.461,126.681
1487.0,108.627,127.276
1489.0,108.792,127.869
1491.0,108.951,128.352
1493.0,109.11,128.857
1495.0,109.267,129.595
1497.0,109.425,130.313
1499.0,109.585,130.872
1501.0,109.745,131.372
1503.0,109.904,131.767
1505.0,110.062,132.06
1507.0,110.225,132.395
1509.0,110.385,132.714
1511.0,110.542,133.164
1513.0,110.704,133.486
1515.0,110.862,133.668
1517.0,111.018,133.841
1519.0,111.18,134.044
1521.0,111.345,134.32
1523.0,111.508,134.617
1525.0,111.665,134.909
1527.0,111.822,135.302
1529.0,111.984,135.738
1531.0,112.145,136.262
1533.0,112.304,136.661
1535.0,112.464,136.938
1537.0,112.626,137.182
1539.0,112.79,137.663
1541.0,112.949,138.213
1543.0,113.111,138.775
1545.0,113.276,139.401
1547.0,113.434,139.76
1549.0,113.595,140.244
1551.0,113.757,140.722
1553.0,113.916,141.228
1555.0,114.076,141.623
1557.0,114.237,141.954
1559.0,114.396,142.249
1561.0,114.558,142.573
1563.0,114.716,142.862
1565.0,114.877,143.087
1567.0,115.037,143.387
1569.0,115.199,143.672
1571.0,115.358,143.984
1573.0,115.52,144.436
1575.0,115.677,144.821
1577.0,115.835,145.332
1579.0,115.993,145.798
1581.0,116.157,146.182
1583.0,116.315,146.514
1585.0,116.472,146.927
1587.0,116.632,147.299
1589.0,116.787,147.665
1591.0,116.95,148.01
1593.0,117.109,148.348
