GENER00  1.00e+25  1.00e-06                                0.00
VERTICES
  0 172599.109211005.92
 op 178089.229206568.16
 oq 178439.579206868.56
 or 178293.909207453.28
 os 178394.639207393.84
 ot 178093.509209166.40
 ou 178579.869202657.53
 ov 178553.149202936.74
 ow 178260.129208109.75
 ox 178267.989208639.84
 oy 178268.449208769.77
 oz 178492.039205944.74
 p0 179471.859204156.90
 p1 179597.209204266.70
 p2 179589.779204997.18
 p3 179675.749204881.50
 p4 179587.239202502.60
 p5 179593.459202512.19
 p6 179580.369211595.60
 p7 179664.149212007.27
 p8 179717.949201799.61
 p9 179702.849205792.08
 pa 178661.209208355.79
 pb 178609.769209647.38
 pc 178556.549204102.52
 pd 178776.909203239.84
 pe 178668.749204185.51
 pf 178760.079205123.69
 pg 178937.269209851.24
 ph 178972.719210133.84
 pi 178890.939211223.67
 pj 178651.339211994.61
 pk 178956.739211383.82
 pl 178847.229202416.13
 pm 178835.119201572.92
 pn 178962.879208380.32
 po 179004.339208729.26
 pp 178858.929205903.51
 pq 178957.949206559.14
 pr 179172.009207701.59
 ps 179264.859207899.56
 pt 179299.489210464.82
 pu 179270.749199976.19
 pv 179270.749212418.32
 pw 179456.959209228.86
 px 179480.829206848.73
 py 179449.969203272.75
 pz 179545.869203383.60
 q0 180377.509201712.26
 q1 180544.599201918.79
 q2 180471.469202703.36
 q3 180368.129211138.58
 q4 180533.109211333.63
 q5 180488.329212118.20
 q6 180367.499208667.14
 q7 180594.499208979.92
 q8 180426.019209764.49
 q9 180627.579210549.06
 qa 179902.379200586.89
 qb 179732.379200856.78
 qc 179951.429205980.70
 qd 179577.199206812.59
 qe 179491.529210491.40
 qf 179970.339211122.22
 qg 179921.369201651.98
 qh 179580.639207972.70
 qi 179471.719209228.05
 qj 180057.149208646.72
 qk 180291.319209881.08
 ql 180289.549209889.25
 qm 180356.829207170.58
 qn 180433.869207410.78
 qo 180391.509207529.48
 qp 180387.979200349.65
 qq 180318.939200447.97
 qr 180387.979212222.73
 qs 180457.169202717.72
 qt 180388.809203348.00
 qu 180479.519203487.93
 qv 180410.769204041.89
 qw 180483.649204988.87
 qx 180534.329205057.07
 qy 180438.549205841.64
 qz 180335.309205946.22
 r0 178153.529212650.14
 r1 177594.909212650.14
 r2 177036.299212650.14
 r3 176477.679199747.89
 r4 176477.679212650.14
 r5 175919.069199817.72
 r6 175919.069212615.22
 r7 175639.759212580.31
 r8 175360.459199747.89
 r9 175360.459212685.05
 ra 180599.599204272.50
 rb 180646.089206626.21
 rc 180661.379208195.35
 rd 180690.379201134.22
 re 181142.739200741.94
 rf 181142.739207803.07
 rg 181142.739206233.93
 rh 181142.739203880.22
 ri 181142.739210156.77
 rj 181142.739209372.20
 rk 181142.739208587.63
 rl 181142.739211725.91
 rm 181142.739210941.34
 rn 181142.739202311.08
 ro 181142.739201526.51
 rp 181142.739205449.36
 rq 181142.739204664.79
 rr 181142.739203095.65
 rs 181184.319212748.21
 rt 181184.319199719.64
 ru 179829.369199678.06
 rv 181142.739207018.50
 rw 179829.369212789.79
 rx 178712.139199678.06
 ry 178712.139212719.96
 rz 177594.909199678.06
 s0 181142.739209764.49
 s1 181142.739208979.92
 s2 181142.739212118.20
 s3 181142.739211333.63
 s4 181142.739202703.36
 s5 181142.739201918.79
 s6 181142.739205841.64
 s7 181142.739205057.07
 s8 181142.739203487.93
 s9 180387.979212789.79
 sa 174243.229199678.06
 sb 174243.229212789.79
 sc 173125.999199678.06
 sd 171771.049212748.21
 se 173125.999212789.79
 sf 171812.629211725.91
 sg 171812.629210941.34
 sh 171812.629210156.77
 si 171812.629209372.20
 sj 171812.629208587.63
 sk 171812.629207803.07
 sl 171812.629207018.50
 sm 171812.629206233.93
 sn 171812.629205449.36
 so 171812.629204664.79
 sp 171812.629203880.22
 sq 171812.629203095.65
 sr 171812.629202311.08
 ss 171812.629201526.51
 st 171812.629200741.94
 su 171771.049199719.64
 sv 181142.739201134.22
 sw 181142.739208195.35
 sx 181142.739206626.21
 sy 181142.739204272.50
 sz 181142.739210549.06
 t0 171812.629208195.35
 t1 171812.629207410.78
 t2 171812.629206626.21
 t3 171812.629205841.64
 t4 171812.629205057.07
 t5 171812.629204272.50
 t6 171812.629203487.93
 t7 171812.629202703.36
 t8 171812.629201918.79
 t9 171812.629201134.22
 ta 181142.739200349.65
 tb 180387.979199678.06
 tc 181142.739207410.78
 td 179270.749212789.79
 te 179270.749199678.06
 tf 178432.829212650.14
 tg 178153.529199678.06
 th 177874.219212650.14
 ti 177315.609212650.14
 tj 176756.989212650.14
 tk 177036.299199678.06
 tl 176198.379212650.14
 tm 176198.379199817.72
 tn 175779.419212580.31
 to 175500.109212580.31
 tp 175639.759199817.72
 tq 174801.839212789.79
 tr 174801.839199678.06
 ts 173684.619212789.79
 tt 173684.619199678.06
 tu 171812.629212118.20
 tv 172567.389212789.79
 tw 171812.629211333.63
 tx 171812.629210549.06
 ty 171812.629209764.49
 tz 171812.629208979.92
 ua 171812.629200349.65
 ub 172567.389199678.06

GRID
  a0 4                    
 ua
 su
 ub
  b
  b0 6                    
  d
  c
 t9
 st
 ua
  b
  c0 6                    
  e
  f
 t8
 ss
 t9
  c
  d0 6                    
  h
  g
 t7
 sr
 t8
  f
  e0 6                    
  i
  j
 t6
 sq
 t7
  g
  f0 6                    
  l
  k
 t5
 sp
 t6
  j
  g0 5                    
  m
 t4
 so
 t5
  k
  h0 7                    
  o
  p
  n
 t3
 sn
 t4
  m
  i0 5                    
  q
 t2
 sm
 t3
  n
  j0 6                    
  r
  s
 t1
 sl
 t2
  q
  k0 6                    
  u
  t
 t0
 sk
 t1
  s
  l0 6                    
  v
  w
 tz
 sj
 t0
  t
  m0 6                    
  y
  x
 ty
 si
 tz
  w
  n0 5                    
  z
 tx
 sh
 ty
  x
  o0 6                    
  0
  1
 tw
 sg
 tx
  z
  p0 6                    
  2
  3
 tu
 sf
 tw
  1
  q0 4                    
 tv
 sd
 tu
  3
  r0 5                    
  h
  4
  5
  i
  g
  s0 6                    
  p
  6
  7
  r
  q
  n
  t0 7                    
  l
  8
  9
 aa
  o
  m
  k
  u0 6                    
  y
 ab
 ac
  0
  z
  x
  v0 5                    
  u
 ad
 ae
  v
  t
  w0 6                    
  5
 af
  8
  l
  j
  i
  x0 6                    
 ac
 ag
 ah
  2
  1
  0
  y0 6                    
  d
 ai
 aj
 ak
  e
  c
  z0 7                    
 ai
  d
  b
 ub
 sc
 tt
 al
 aa0 7                    
  2
 ah
 am
 ts
 se
 tv
  3
 ab0 5                    
 aa
 an
  6
  p
  o
 ac0 7                    
  7
 ao
 ap
 ad
  u
  s
  r
 ad0 7                    
 ae
 aq
 ar
 ab
  y
  w
  v
 ae0 7                    
 ak
 as
 at
  4
  h
  f
  e
 af0 6                    
 at
 au
 av
 af
  5
  4
 ag0 6                    
 an
 aw
 ax
 ao
  7
  6
 ah0 5                    
 al
 ay
 az
 aj
 ai
 ai0 7                    
 ar
 a0
 a2
 a1
 ag
 ac
 ab
 aj0 6                    
 az
 a3
 a4
 as
 ak
 aj
 ak0 7                    
 af
 av
 a5
 a7
 a6
  9
  8
 al0 5                    
 a1
 a8
 am
 ah
 ag
 am0 7                    
 a6
 a9
 ba
 aw
 an
 aa
  9
 an0 7                    
 ap
 bb
 bc
 bd
 aq
 ae
 ad
 ao0 6                    
 a4
 be
 bf
 au
 at
 as
 ap0 6                    
 ay
 al
 tt
 sa
 tr
 bg
 aq0 6                    
 a8
 bh
 tq
 sb
 ts
 am
 ar0 6                    
 bf
 bj
 bi
 a5
 av
 au
 as0 7                    
 ax
 bk
 bl
 bm
 bb
 ap
 ao
 at0 6                    
 bg
 bo
 bn
 a3
 az
 ay
 au0 7                    
 ba
 bp
 bq
 br
 bk
 ax
 aw
 av0 5                    
 a7
 bs
 bt
 a9
 a6
 aw0 7                    
 bd
 bu
 bw
 bv
 a0
 ar
 aq
 ax0 6                    
 bn
 bx
 by
 be
 a4
 a3
 ay0 6                    
 bi
 bz
 b0
 bs
 a7
 a5
 az0 5                    
 bm
 b1
 b2
 bc
 bb
 ba0 7                    
 a2
 b3
 b5
 b4
 bh
 a8
 a1
 bb0 6                    
 bj
 b6
 b8
 b7
 bz
 bi
 bc0 4                    
 br
 b9
 bl
 bk
 bd0 6                    
 bv
 ca
 cb
 b3
 a2
 a0
 be0 6                    
 by
 cc
 b6
 bj
 bf
 be
 bf0 7                    
 bt
 cd
 ce
 cf
 bp
 ba
 a9
 bg0 7                    
 b0
 cg
 ch
 ci
 cd
 bt
 bs
 bh0 5                    
 b7
 cj
 cg
 b0
 bz
 bi0 5                    
 b2
 ck
 bu
 bd
 bc
 bj0 7                    
 bo
 cl
 cm
 co
 cn
 bx
 bn
 bk0 7                    
 b9
 cp
 cq
 cr
 b1
 bm
 bl
 bl0 6                    
 bo
 bg
 tr
 r8
 tp
 cl
 bm0 7                    
 b4
 cs
 ct
 to
 r9
 tq
 bh
 bn0 6                    
 b8
 cu
 cv
 cw
 cj
 b7
 bo0 8                    
 cc
 cx
 cy
 cz
 c0
 cu
 b8
 b6
 bp0 6                    
 cf
 c1
 c2
 c3
 bq
 bp
 bq0 6                    
 b5
 c4
 c5
 c6
 cs
 b4
 br0 7                    
 cn
 c8
 c7
 cx
 cc
 by
 bx
 bs0 6                    
 c3
 c9
 cp
 b9
 br
 bq
 bt0 5                    
 ci
 da
 db
 ce
 cd
 bu0 7                    
 cj
 cw
 dc
 de
 dd
 ch
 cg
 bv0 5                    
 df
 tn
 r7
 to
 ct
 bw0 7                    
 c0
 dg
 dh
 dj
 di
 cv
 cu
 bx0 5                    
 c7
 dk
 dl
 cy
 cx
 by0 6                    
 db
 dm
 dn
 c1
 cf
 ce
 bz0 6                    
 dd
 do
 dp
 da
 ci
 ch
 ca0 6                    
 di
 dq
 dr
 dc
 cw
 cv
 cb0 6                    
 bw
 ds
 dt
 du
 ca
 bv
 cc0 6                    
 cb
 dw
 dv
 c4
 b5
 b3
 cd0 6                    
 c6
 dx
 dy
 df
 ct
 cs
 ce0 5                    
 dl
 d0
 dz
 cz
 cy
 cf0 5                    
 dz
 d1
 dg
 c0
 cz
 cg0 7                    
 cr
 d4
 d3
 d2
 ck
 b2
 b1
 ch0 6                    
 ck
 d2
 d5
 ds
 bw
 bu
 ci0 5                    
 d1
 d6
 d7
 dh
 dg
 cj0 5                    
 de
 d8
 d9
 do
 dd
 ck0 6                    
 d0
 ea
 eb
 d6
 d1
 dz
 cl0 6                    
 cm
 cl
 tp
 r5
 tm
 ec
 cm0 6                    
 dy
 ed
 tl
 r6
 tn
 df
 cn0 5                    
 dj
 ee
 ef
 dq
 di
 co0 6                    
 dp
 eg
 eh
 dm
 db
 da
 cp0 7                    
 dr
 ei
 ej
 ek
 d8
 de
 dc
 cq0 6                    
 d7
 el
 em
 ee
 dj
 dh
 cr0 5                    
 ef
 en
 ei
 dr
 dq
 cs0 6                    
 dn
 eo
 eq
 ep
 c2
 c1
 ct0 6                    
 d9
 er
 es
 eg
 dp
 do
 cu0 5                    
 dv
 et
 eu
 c5
 c4
 cv0 5                    
 c8
 ev
 ew
 dk
 c7
 cw0 6                    
 ek
 ex
 ey
 er
 d9
 d8
 cx0 5                    
 eb
 ez
 el
 d7
 d6
 cy0 5                    
 en
 e0
 e1
 ej
 ei
 cz0 6                    
 em
 e2
 e0
 en
 ef
 ee
 da0 6                    
 dw
 e3
 e4
 e5
 et
 dv
 db0 6                    
 eu
 e6
 e7
 dx
 c6
 c5
 dc0 5                    
 e7
 e8
 ed
 dy
 dx
 dd0 6                    
 co
 e9
 fa
 ev
 c8
 cn
 de0 6                    
 e1
 fb
 fc
 ex
 ek
 ej
 df0 7                    
 ez
 fd
 ff
 fe
 e2
 em
 el
 dg0 7                    
 ew
 fg
 fh
 ea
 d0
 dl
 dk
 dh0 5                    
 ec
 fi
 e9
 co
 cm
 di0 5                    
 ey
 fj
 fk
 es
 er
 dj0 6                    
 e2
 fe
 fl
 fb
 e1
 e0
 dk0 7                    
 es
 fk
 fm
 fn
 fo
 eh
 eg
 dl0 5                    
 c9
 fp
 fq
 cq
 cp
 dm0 8                    
 ep
 fr
 ft
 fs
 fp
 c9
 c3
 c2
 dn0 6                    
 fc
 fu
 fv
 fj
 ey
 ex
 do0 7                    
 du
 fx
 fw
 e3
 dw
 cb
 ca
 dp0 6                    
 fh
 fy
 fd
 ez
 eb
 ea
 dq0 6                    
 eh
 fo
 fz
 eo
 dn
 dm
 dr0 5                    
 fl
 f0
 fu
 fc
 fb
 ds0 5                    
 e5
 f1
 e6
 eu
 et
 dt0 5                    
 f0
 f2
 f3
 fv
 fu
 du0 6                    
 fv
 f3
 f4
 fm
 fk
 fj
 dv0 7                    
 ff
 f5
 f6
 f2
 f0
 fl
 fe
 dw0 5                    
 eq
 f7
 f8
 fr
 ep
 dx0 5                    
 fw
 f9
 ga
 e4
 e3
 dy0 5                    
 fy
 gb
 f5
 ff
 fd
 dz0 7                    
 d3
 gc
 gf
 ge
 gd
 d5
 d2
 ea0 6                    
 fi
 ec
 tm
 r3
 tk
 gg
 eb0 6                    
 e8
 gh
 tj
 r4
 tl
 ed
 ec0 6                    
 ga
 gi
 gj
 f1
 e5
 e4
 ed0 8                    
 f1
